ID,QQ,PartVQ,I1_1,I1_2,I1_3,I1_4,I1_5,I1_6,I1_7,I1_8,I1_9,I1_10,I1_11,I1_12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,LA_1,LA_2,LA_3,LA_4,LA_5,LA_6,LA_7,LA_8,LA_9,LA_10,LA_11,LA_12,LA_13,LA_14,LB_1,LB_2,LB_3,LB_4,LB_5,LB_6,LB_7,LB_8,LB_9,LB_10,LB_11,LB_12,LC_1,LC_2,LC_3,PartVA_5_T,PartVB_5_T,PartVC_5_T,PartVD_5_T
3892052,1,0,7,6,3,7,4,6,5,6,6,6,7,6,2,4,43,2,13,1,1,5,1,8,4,4,4,4,3,4,4,3,3,3,4,3,2,2,4,4,4,4,3,4,4,4,2,2,3,2,1,1,1,1,1,1,1
3892060,4,0,5,3,6,3,3,5,5,4,4,6,4,4,2,4,36,1,32,1,1,4,1,5,4,4,4,4,4,3,3,4,4,2,4,4,2,3,4,3,3,3,2,3,4,3,5,2,2,3,1,2,2,2,3,2,2
3892066,3,0,7,6,8,6,5,6,2,6,7,7,6,6,1,1,34,2,27,1,2,3,1,5,4,4,4,4,4,4,4,4,2,1,4,4,2,4,4,3,4,4,4,4,5,4,2,2,2,2,1,1,1,1,2,1,2
3892071,1,0,5,6,3,5,5,5,8,4,5,4,7,5,2,1,22,2,40,1,1,2,1,3,5,5,5,4,2,5,5,5,1,1,5,3,1,1,5,5,5,4,1,3,5,5,1,1,4,1,2,1,1,1,0,1,1
3892081,2,1,6,2,6,6,2,6,8,6,2,2,3,6,2,5,22,2,20,3,1,4,1,2,4,4,4,3,4,4,4,2,4,2,4,4,2,2,4,4,4,2,2,4,4,2,4,2,2,4,2,1,1,2,2,2,2
3892083,3,1,6,5,2,7,4,6,6,5,5,3,7,5,2,1,31,1,4,1,2,3,1,1,5,5,5,5,1,5,5,4,1,1,3,2,1,1,4,5,5,5,1,5,5,5,1,1,1,2,2,1,1,4,3,2,2
3892085,4,1,7,3,7,7,5,4,2,6,7,2,6,4,2,2,23,1,35,1,1,3,1,2,5,5,5,5,2,5,5,5,2,1,5,3,2,2,4,4,4,4,3,4,5,4,2,1,4,2,1,1,1,2,1,1,0
3892089,3,0,8,6,4,8,3,6,8,8,6,7,8,8,2,4,31,2,13,3,1,7,1,10,5,4,5,4,1,4,5,4,2,1,4,2,5,1,5,4,4,5,4,4,4,4,1,1,4,1,1,1,1,2,1,1,1
3892090,2,1,4,3,7,5,4,4,7,3,4,2,5,3,2,2,34,2,16,1,1,3,1,1,4,4,5,5,4,4,4,5,4,4,3,4,5,4,4,4,5,5,4,4,5,5,3,2,4,4,2,1,1,3,2,2,1
3892092,4,0,8,3,8,8,5,5,8,6,6,6,8,4,2,5,48,2,13,1,1,7,1,10,3,4,4,3,3,3,3,4,4,2,4,3,4,3,2,3,2,2,2,2,2,3,3,4,4,4,2,1,1,1,2,1,0
3892096,1,1,7,6,6,8,2,6,5,7,6,3,7,6,2,3,39,1,5,1,2,5,1,6,4,4,4,3,3,4,5,3,4,2,5,4,3,2,4,4,4,3,3,4,5,4,4,1,4,4,2,1,1,2,2,2,3
3892097,3,0,6,7,1,7,2,6,4,6,8,7,2,7,2,1,38,1,43,1,1,5,1,5,5,5,5,5,3,4,5,5,4,3,5,5,2,2,5,5,5,5,2,4,5,5,3,2,4,3,1,1,1,2,1,1,1
3892098,4,1,8,8,2,8,1,8,2,8,8,7,1,8,2,4,51,1,35,1,2,5,6,9,4,4,4,4,3,4,5,3,3,3,4,5,2,1,5,4,4,4,3,4,4,3,1,2,3,2,2,1,1,3,2,3,4
3892099,1,0,7,6,5,5,3,4,6,7,6,7,5,5,1,1,50,1,18,1,2,5,1,4,4,5,5,5,2,4,5,4,1,1,5,3,2,2,5,4,5,4,2,5,4,4,2,2,2,1,1,1,1,1,1,1,2
3892102,2,0,3,6,7,3,4,6,5,6,7,6,6,6,2,1,19,1,21,3,2,2,1,8,3,3,3,2,3,2,4,5,4,3,4,3,4,3,1,3,1,1,3,1,1,1,5,3,5,5,2,2,2,2,2,2,2
3892103,2,1,6,5,5,6,4,6,3,6,5,6,4,5,2,1,46,2,38,4,2,6,2,3,5,5,5,5,1,5,5,5,1,1,5,3,1,1,5,5,5,5,1,5,5,5,1,1,1,1,1,1,1,2,2,1,1
3892122,1,1,7,8,6,7,2,8,3,7,7,7,6,7,2,2,36,2,3,1,1,5,1,5,4,4,3,4,5,3,4,3,4,2,4,3,3,1,4,3,3,3,2,3,3,2,5,1,5,4,1,2,2,2,2,2,3
3892125,3,1,6,3,8,7,4,6,6,5,6,2,8,1,2,2,45,2,9,1,2,3,1,3,4,4,5,4,3,4,4,4,4,3,4,3,2,3,4,3,4,5,3,4,4,4,4,3,3,3,1,1,2,4,3,2,4
3892129,4,0,7,6,3,7,2,6,6,7,6,5,5,6,2,4,45,1,33,1,2,5,1,4,5,5,5,4,2,4,5,4,2,2,4,3,2,2,5,4,4,4,2,4,5,4,2,2,2,2,2,1,1,2,1,1,2
3892130,3,1,3,2,7,2,5,1,6,2,2,1,8,1,2,1,36,2,49,1,1,5,1,1,5,4,5,4,2,4,5,5,3,1,3,3,2,1,4,3,4,4,3,3,5,5,2,1,3,3,1,1,1,2,1,1,1
3892135,4,1,6,6,7,6,4,6,7,6,7,6,8,6,2,1,21,2,21,1,1,4,1,10,4,5,5,4,2,4,5,4,2,2,4,4,2,2,4,5,5,4,2,4,5,4,2,1,2,2,1,1,1,2,2,2,2
3892140,2,0,8,8,8,8,1,8,8,8,8,8,8,8,2,1,29,2,32,1,1,5,1,9,1,1,1,3,4,4,4,4,4,2,4,5,4,5,4,4,3,4,2,4,4,5,4,3,5,5,1,1,1,2,1,1,0
3892142,1,0,7,8,2,5,4,5,8,5,5,2,8,5,2,5,37,2,38,1,1,6,1,4,5,5,5,5,2,4,5,5,3,2,4,5,2,1,5,5,5,5,4,4,5,5,2,2,3,2,1,1,1,1,2,1,1
3892144,4,0,5,6,4,6,4,5,3,6,6,5,5,6,2,2,24,1,5,2,1,5,1,5,5,5,5,5,1,5,5,1,1,1,5,3,1,1,5,5,5,5,3,5,5,5,1,1,1,1,1,1,1,1,2,1,1
3892146,3,0,7,6,5,6,3,6,5,7,6,6,5,5,2,2,20,2,42,1,1,3,1,7,1,1,1,3,3,1,1,3,5,5,3,3,5,5,1,1,1,3,3,1,1,1,5,3,5,5,2,2,2,0,2,1,1
3892150,1,1,5,4,6,5,6,5,6,5,6,5,6,5,2,1,31,1,46,1,1,6,1,4,2,2,3,2,1,1,3,4,2,1,2,1,1,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,3,3,2,2
3892157,2,0,5,6,6,6,6,5,6,5,6,6,7,6,2,2,20,2,13,3,2,4,6,2,5,5,5,5,1,5,5,5,2,2,3,4,1,1,5,5,5,4,1,5,5,5,1,1,1,1,1,1,2,2,2,2,3
3892160,4,0,6,4,4,6,2,5,6,5,6,4,5,5,2,2,21,1,5,1,1,3,1,4,4,2,4,4,4,4,4,4,4,2,4,2,2,2,4,4,4,4,2,4,2,4,2,2,2,2,1,1,1,3,2,3,3
3892166,2,1,6,8,2,5,2,7,4,6,8,5,4,8,2,5,24,1,3,3,1,5,1,5,5,5,5,5,2,5,5,5,2,1,5,3,1,1,5,5,5,5,4,5,5,5,2,1,2,1,1,1,1,3,2,2,0
3892168,1,1,6,6,6,6,6,6,6,6,6,6,6,6,2,3,31,1,13,2,1,5,1,3,4,4,5,4,2,4,5,4,3,3,4,4,3,2,4,4,5,4,3,4,5,4,2,3,3,3,2,1,1,2,0,0,0
3892169,3,1,7,7,1,7,3,6,2,7,7,6,6,7,2,3,35,2,10,1,1,6,1,4,5,5,5,5,1,5,5,5,1,1,5,5,1,1,5,5,5,5,1,5,5,5,1,1,1,1,2,1,1,1,3,3,2
3892172,1,0,6,7,8,6,1,6,8,6,5,6,8,6,2,2,29,2,28,1,1,3,6,4,5,2,5,5,3,5,5,5,1,1,3,5,1,2,5,5,5,5,3,5,5,5,1,1,1,1,1,1,1,1,1,1,1
3892173,2,1,5,5,4,6,6,6,5,5,4,3,7,6,2,1,19,1,32,1,2,3,1,2,3,4,3,2,2,2,4,3,3,2,5,4,3,3,2,2,2,1,2,1,1,1,3,2,2,2,2,2,2,3,3,3,3
3892177,3,0,5,5,8,6,3,4,4,5,5,5,6,5,1,2,26,2,5,4,1,5,1,2,5,5,5,4,4,3,4,4,4,2,4,3,2,2,5,4,5,3,4,3,5,3,4,2,4,4,1,1,2,1,2,2,0
3892179,4,1,7,5,8,8,3,8,6,7,7,7,8,6,2,2,26,3,35,4,1,3,1,1,1,2,1,1,3,1,1,5,5,2,3,5,5,4,1,2,2,2,2,2,1,1,4,4,3,5,2,2,2,2,2,2,0
3892181,1,1,6,6,2,7,1,8,4,6,7,7,6,6,2,1,24,1,22,4,1,4,1,4,4,5,4,3,2,4,4,5,4,1,4,3,3,1,4,4,4,3,3,4,4,4,4,1,4,4,1,1,1,3,1,2,0
3892189,4,1,3,4,2,7,4,5,5,5,5,6,6,5,2,1,20,2,18,2,1,3,1,5,4,5,4,5,5,4,5,4,5,2,5,3,1,3,3,3,4,3,2,3,4,3,5,2,4,5,2,1,2,2,2,3,1
3892193,1,0,4,6,2,6,5,6,3,5,6,6,5,6,2,1,23,2,43,3,1,5,1,4,5,5,5,5,4,5,5,5,5,1,5,4,1,1,5,5,5,5,4,5,5,4,4,1,2,3,2,1,1,1,0,1,0
3892202,4,0,7,3,5,6,2,5,6,4,5,3,8,3,2,2,42,2,3,1,1,3,1,3,4,4,4,3,3,4,4,3,4,2,4,3,3,2,2,4,3,4,3,2,4,3,4,3,2,4,2,2,2,1,1,1,2
3892203,3,0,7,6,6,8,3,7,8,7,8,7,6,6,2,2,31,2,43,1,1,3,1,2,5,5,5,5,1,5,5,5,1,1,5,1,1,1,5,5,5,5,1,5,5,5,1,1,1,1,1,1,1,2,2,2,2
3892205,4,0,6,8,1,6,1,6,5,7,6,5,1,7,2,2,48,1,18,2,2,3,1,5,4,5,5,4,4,5,5,4,4,2,5,3,2,1,5,5,5,5,4,5,5,4,2,1,1,1,1,1,1,1,1,1,1
3892210,2,0,7,7,4,4,1,3,6,6,6,5,7,5,2,1,30,1,43,4,1,4,1,3,5,5,5,3,2,4,5,3,4,1,4,5,3,1,5,5,5,4,3,4,5,3,4,2,2,2,1,1,1,3,2,1,2
3892211,2,0,7,7,5,7,2,7,5,7,7,6,5,7,1,1,30,2,43,1,1,6,1,3,4,5,4,2,5,5,4,5,4,1,5,3,3,3,3,3,3,3,3,3,3,4,5,3,4,5,2,2,2,2,1,1,2
3892215,1,0,6,5,6,8,2,6,6,7,7,4,6,3,2,2,28,1,10,2,1,4,1,2,4,4,4,4,3,4,4,4,3,2,5,2,2,2,4,4,4,4,2,4,4,4,2,2,2,2,1,1,1,1,1,1,1
3892217,4,1,5,4,7,4,4,4,5,5,5,5,7,4,2,2,54,2,46,1,2,5,1,8,5,5,5,5,1,5,5,5,2,1,4,3,1,2,5,5,5,5,2,5,5,5,2,2,2,2,1,1,1,2,2,2,0
3892218,3,1,7,5,3,6,2,7,2,5,5,6,5,6,2,2,20,1,5,1,1,4,1,5,5,5,5,5,2,5,5,5,4,1,5,3,2,1,5,4,5,5,3,5,5,5,4,5,5,3,2,1,2,2,1,1,2
3892220,1,1,7,6,5,6,4,6,7,5,5,4,5,7,2,2,52,2,37,1,1,5,1,2,5,4,4,4,1,4,4,4,2,1,4,3,2,2,4,5,4,4,2,4,5,5,4,2,4,1,1,1,1,2,2,2,2
3892221,2,1,8,4,7,8,6,7,8,7,7,7,6,6,2,2,21,1,7,1,1,4,1,2,5,5,5,4,3,5,5,5,2,1,5,3,1,1,5,5,5,4,5,5,5,4,1,1,2,2,1,1,2,4,1,1,1
3892223,2,1,4,2,6,2,4,2,6,3,3,1,7,1,2,5,22,1,10,1,1,3,1,6,4,4,5,4,2,4,4,5,3,2,5,3,3,3,5,5,5,4,3,5,5,4,3,1,2,2,2,1,2,2,1,1,0
3892224,2,0,7,6,5,6,4,8,7,6,7,6,7,6,2,2,29,2,38,2,2,5,1,5,4,4,4,4,3,4,4,4,4,2,4,4,2,3,4,4,4,4,4,4,4,4,4,2,2,4,1,2,2,1,2,1,1
3892225,3,0,6,7,6,7,4,7,8,7,7,6,6,7,2,5,22,2,43,4,1,3,1,2,4,4,4,3,3,4,4,4,4,2,4,3,4,5,3,4,3,3,3,4,4,4,2,3,3,3,2,2,2,2,1,0,1
3892238,3,1,4,7,6,7,3,5,7,4,7,5,8,4,2,1,20,1,9,5,1,3,1,3,5,5,5,5,3,4,5,5,2,1,5,5,1,1,5,5,5,5,1,4,5,3,2,2,2,3,2,1,2,2,3,1,1
3892239,4,1,6,5,6,3,1,5,5,6,3,6,7,8,2,2,20,1,32,1,1,4,1,4,4,4,4,4,3,4,4,4,4,2,4,4,3,2,4,4,4,4,3,4,4,4,2,2,2,2,1,1,1,2,0,0,0
3892240,1,0,8,6,1,6,1,6,5,7,7,6,4,6,2,1,33,1,33,1,2,3,1,6,5,5,5,4,4,5,5,5,1,1,5,3,2,1,5,5,5,5,4,4,5,5,5,1,1,2,1,1,1,1,1,1,1
3892241,3,1,7,6,1,6,1,6,2,6,7,7,1,7,2,1,49,2,20,1,1,3,1,9,2,3,2,3,5,2,2,4,4,3,3,5,1,3,1,2,1,1,4,2,1,2,4,5,5,5,2,2,2,1,2,1,4
3892243,2,1,4,4,7,4,3,4,7,3,5,4,7,3,2,1,33,2,25,1,1,4,1,3,4,5,5,4,3,3,5,4,4,1,4,3,1,2,5,4,5,4,1,3,5,3,4,1,4,4,1,1,1,3,2,2,3
3892244,4,0,2,2,7,4,7,2,8,2,4,1,7,2,2,5,35,1,30,1,2,5,1,3,5,5,5,5,1,5,5,5,1,1,5,1,1,1,5,5,5,5,1,5,5,5,1,1,1,1,1,1,1,1,1,1,0
3892245,1,1,8,8,1,7,1,8,4,7,6,7,7,7,2,1,20,1,22,1,1,3,1,4,5,5,5,4,2,4,5,5,4,2,5,3,2,2,5,5,5,4,3,4,5,4,2,1,2,2,1,1,1,2,2,2,2
3892248,3,0,6,7,8,7,4,7,8,7,5,5,6,5,1,1,29,2,32,4,1,3,1,3,4,4,4,4,3,3,4,4,5,2,4,4,2,3,4,3,4,4,3,4,4,4,5,2,4,4,2,2,2,2,2,1,1
3892249,1,0,5,7,2,2,1,6,3,5,6,5,2,7,2,1,32,1,5,5,1,3,1,2,5,4,5,3,4,4,4,4,5,2,5,5,3,1,4,3,4,3,3,4,4,5,4,2,2,5,2,2,2,1,1,1,0
3892250,4,0,6,7,5,6,1,6,3,6,6,5,5,6,2,2,35,1,13,3,1,5,6,5,5,5,5,4,2,5,5,4,3,1,5,5,1,1,5,5,5,5,3,5,5,4,5,1,1,1,1,1,2,0,1,2,1
3892253,2,0,3,5,3,6,4,7,4,5,2,4,7,4,2,1,20,2,33,1,1,3,1,2,4,4,4,4,3,4,4,4,4,2,5,4,1,2,4,4,4,3,4,4,4,4,2,1,4,4,2,1,1,2,1,2,1
3892258,3,1,5,6,4,4,4,6,6,6,6,5,5,6,2,2,33,2,5,1,1,5,1,9,5,5,2,1,5,2,5,5,5,2,3,3,1,3,1,3,1,1,5,1,1,1,5,2,5,5,1,2,2,4,4,4,4
3892262,2,1,4,5,6,4,6,5,7,5,2,4,6,4,1,1,25,1,43,5,1,3,1,5,3,3,3,3,4,3,4,3,4,3,3,4,4,3,2,3,3,3,3,2,3,4,4,3,4,4,2,2,2,1,2,3,2
3892263,4,1,6,7,1,7,2,7,5,7,6,6,4,7,2,1,50,2,9,1,1,3,1,5,4,4,3,3,3,3,3,4,4,4,3,3,3,4,3,4,3,3,3,3,4,3,4,3,4,3,2,2,2,1,1,1,2
3892266,3,1,1,5,5,8,5,6,6,3,5,4,6,5,2,5,21,2,21,3,1,4,1,4,5,5,5,5,3,5,5,5,1,1,5,3,1,1,5,5,5,5,3,5,5,5,1,1,1,1,2,1,2,1,1,2,0
3892270,1,1,4,7,3,5,3,5,7,5,6,6,7,7,2,2,24,2,14,1,1,5,6,5,5,5,5,5,1,5,5,5,1,1,5,1,1,1,5,5,5,5,1,5,5,5,1,1,1,1,2,1,1,2,2,2,1
3892272,1,1,5,4,2,6,4,7,2,4,4,3,4,3,2,3,30,1,12,2,1,6,1,2,5,5,5,5,2,5,5,3,3,1,2,2,2,2,4,4,4,4,1,4,4,4,1,1,1,2,2,1,2,4,3,3,2
3892273,3,0,6,7,2,7,3,7,8,7,7,5,7,6,2,4,23,3,37,1,1,4,1,9,5,5,5,5,2,5,5,5,2,2,3,1,1,1,5,5,5,5,3,5,5,5,2,1,2,2,1,1,1,2,1,1,1
3892274,4,0,8,7,1,8,5,8,7,7,8,5,3,6,2,1,52,2,4,1,1,5,1,4,4,4,4,3,4,3,4,4,4,4,3,4,4,2,4,4,4,3,2,3,4,3,4,4,3,4,2,1,2,1,1,1,1
3892279,2,0,7,7,2,5,3,7,7,3,6,7,6,6,2,4,30,2,5,1,1,5,1,3,5,5,5,5,3,4,5,4,2,1,4,3,1,1,5,4,5,4,1,4,5,4,3,1,4,1,1,1,1,0,2,1,1
3892280,4,1,7,8,1,1,1,8,8,8,7,7,2,8,2,3,23,2,35,1,1,5,1,7,4,5,5,4,2,4,4,5,4,1,4,2,2,2,3,4,5,4,5,4,4,4,3,4,4,4,1,1,1,3,2,3,2
3892284,4,0,6,6,6,6,4,6,4,6,8,7,6,5,2,2,26,2,43,1,1,3,1,3,4,4,4,4,2,4,4,3,4,2,4,3,2,2,4,4,4,4,2,4,4,3,4,2,2,2,2,1,1,1,2,1,1
3892285,2,0,6,5,6,7,4,6,3,6,6,7,7,6,2,5,22,1,38,1,2,5,1,6,4,5,4,4,3,4,5,4,2,2,4,3,2,2,5,5,4,4,2,4,4,4,2,2,1,2,1,1,1,2,1,1,0
3892287,1,0,5,4,4,6,3,5,6,5,5,3,6,4,2,1,27,2,36,1,1,3,1,6,5,5,5,5,1,5,5,5,2,2,5,3,1,1,5,4,5,5,2,5,5,4,2,1,2,1,1,1,1,1,0,1,1
3892292,3,0,3,3,2,5,7,2,3,2,1,1,3,2,2,5,34,1,47,1,1,2,1,1,5,4,5,4,3,4,5,5,2,1,5,3,2,1,5,4,5,4,3,4,5,4,2,4,1,2,1,1,1,1,0,1,0
3892294,4,1,3,3,1,5,2,4,4,5,5,4,6,5,2,5,29,1,33,1,1,4,1,3,5,5,5,5,1,5,5,5,5,1,4,3,3,1,5,5,5,5,1,5,5,4,4,1,1,1,1,1,2,2,2,2,1
3892295,1,1,7,6,2,6,3,6,5,5,6,2,5,5,1,2,27,1,6,4,1,5,1,2,5,5,5,5,5,5,4,4,2,2,4,4,4,4,5,5,5,5,2,5,5,2,2,2,2,2,1,1,1,1,1,1,0
3892299,3,1,6,7,4,6,6,7,8,6,6,4,6,6,2,4,41,2,9,1,1,3,1,2,5,5,5,5,4,4,5,4,2,1,5,4,1,1,4,5,5,5,2,4,5,4,1,1,1,1,1,1,1,2,3,3,2
3892300,2,1,5,6,3,6,4,5,5,5,5,6,4,6,2,2,41,1,32,3,1,3,1,5,5,5,5,5,1,5,5,5,1,1,5,1,1,1,5,5,5,5,4,5,5,5,1,1,1,1,1,1,1,1,3,1,1
3892302,3,0,8,7,4,6,3,5,6,7,6,7,6,6,2,2,31,1,36,1,1,7,1,9,4,5,5,5,4,5,5,4,3,1,5,4,2,3,4,4,4,4,4,5,4,5,3,2,2,4,1,1,1,1,1,1,3
3892305,4,0,7,8,6,8,1,6,7,6,5,5,8,5,2,1,21,2,43,4,1,3,1,5,4,4,4,4,3,4,4,4,2,2,4,4,3,2,4,4,4,4,3,4,4,4,2,2,2,2,1,1,1,2,1,2,1
3892307,2,1,3,6,3,5,3,6,3,5,6,6,6,6,2,4,27,2,5,3,1,5,1,5,4,4,4,4,2,4,4,4,2,2,4,4,2,2,4,4,4,4,2,4,4,4,2,2,2,2,1,1,1,2,2,2,3
3892308,1,0,6,7,2,7,2,7,5,6,6,6,3,7,2,4,45,2,49,1,2,7,1,9,4,4,5,5,2,4,5,4,2,3,5,2,2,1,5,4,5,4,3,4,5,4,2,2,3,2,1,1,1,2,1,1,1
3892310,1,0,5,5,3,4,5,5,4,4,5,3,5,4,2,3,53,1,47,1,2,3,1,3,4,5,4,4,5,4,5,4,3,2,3,4,3,3,4,4,4,4,3,4,5,4,4,2,3,2,1,1,1,1,1,1,2
3892311,4,1,8,6,8,8,5,8,8,8,8,8,8,8,2,1,32,2,17,2,1,4,6,5,5,5,5,5,1,5,5,5,1,1,5,4,1,1,5,5,5,5,3,5,5,5,1,1,1,1,1,1,1,1,1,2,2
